checks,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
delete_owner_duration,1744829477,3.2637,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.3793,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,91.7184,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,4.3386,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,6.2962,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.7781,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.2524,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.1614,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,84.291,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,83.2651,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.3217,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,4.1783,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.1038,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,2.6059,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,4.7813,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,5.8454,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,84.3989,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,2.6166,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,3.1511,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,2.6538,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,6.3475,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,6.3475,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829478,3.2058,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
